Consensus Assessments Initiative Questionnaire CAIQ Lite,,,,,,,
,User Access,DCS-09.1,Do you restrict physical access to information assets and functions by users and support personnel?,Yes,"Our personnel has limited access to production data based on the intended role that they need to carry out. Our engineers has access only to high level production data for debugging purposes, but they do NOT have access to personal data and uploaded documents.",,
Encryption & Key Management,Key Generation,EKM-02.1,Do you have a capability to allow creation of unique encryption keys per tenant?,Not Applicable,Our offering does not include multi-tenancy. ,,
,Encryption,EKM-03.1,Do you encrypt tenant data at rest (on disk/storage) within your environment?,Yes,"Our offering does not include multi-tenancy. Having said that, database level encryption is managed by our Cloud Service Provider, AWS, Additionally, we implemented application level encryption for sensitive data to ensure that the data is not readable even in the event of direct unauthorized access to the database.",,
Governance and Risk Management,Baseline Requirements,GRM-01.1,"Do you have documented information security baselines for every component of your infrastructure (e.g., hypervisors, operating systems, routers, DNS servers, etc.)?",TODO,,See infrastructure_diagram,
,Policy,GRM-06.1,"Are your information security policies and procedures made available to all impacted personnel and business partners, authorized by accountable business role/function and supported by the information security management program as per industry best practices (e.g. ISO 27001, SOC 2)?",Not Applicable,Our security policy can be found on our website.,,
,Policy Enforcement,GRM-07.1,Is a formal disciplinary or sanction policy established for employees who have violated security policies and procedures?,Yes,,TODO: Write security policy that tells users how we and our employees treat their data,
,Policy Reviews,GRM-09.1,Do you notify your tenants when you make material changes to your information security and/or privacy policies?,No,Our latest security and privacy policies can be accessed directly from our website.,,
,,GRM-09.2,"Do you perform, at minimum, annual reviews to your privacy and security policies?",Yes,"We track a list of items that need to be reviewed annually, which includes privacy and security policies. ",Set up calendar,
Human Resources,Asset Returns,HRS-01.1,"Upon termination of contract or business relationship, are employees and business partners adequately informed of their obligations for returning organizationally-owned assets?",Yes,Organization assets that are lent to employees or business partners will need to be returned.  This is generally made clear at the beginning.,,
,Background Screening,HRS-02.1,"Pursuant to local laws, regulations, ethics, and contractual constraints, are all employment candidates, contractors, and involved third parties subject to background verification?",Yes,Background verification is only required for employees who have important roles and have wider access to our systems and data.,,
,Employment Agreements,HRS-03.1,Do your employment agreements incorporate provisions and/or terms in adherence to established information governance and security policies?,Yes,TODO: need the document (employment contract),,
,Employment Termination,HRS-04.1,"Are documented policies, procedures, and guidelines in place to govern change in employment and/or termination?",Yes,TODO: need the document for termination checklist,,
,Training / Awareness,HRS-09.5,Are personnel trained and provided with awareness programs at least once a year?,No,"Although there is not a formal program on this, awareness on cyber security and user privacy are communicated regularly to the employees in meetings.",,
Identity & Access Management,Audit Tools Access,IAM-01.1,"Do you restrict, log, and monitor access to your information security management systems (e.g., hypervisors, firewalls, vulnerability scanners, network sniffers, APIs, etc.)?",Yes,We employ various security tools for monitoring and analyzing the security of our systems.,,
,,IAM-01.2,"Do you monitor and log privileged access (e.g., administrator level) to information security management systems?",No,We monitor and log access to important data and administrative management area instead.,TODO: why do we need to monitor the systems?,
,User Access Policy,IAM-02.1,Do you have controls in place ensuring timely removal of systems access that is no longer required for business purposes?,Yes,TODO: termination checklist needed,,
,Policies and Procedures,IAM-04.1,"Do you manage and store the identity of all personnel who have access to the IT infrastructure, including their level of access?",Yes,Only the highest level of our technical personnel has access to the IT infrastructure.,,
,Source Code Access Restriction,IAM-06.1,"Are controls in place to prevent unauthorized access to your application, program, or object source code, and assure it is restricted to authorized personnel only?",Yes,Access is only given to personnel based on the roles they need to perform. No access is given out unnecessarily.,,
,,IAM-06.2,"Are controls in place to prevent unauthorized access to tenant application, program, or object source code, and assure it is restricted to authorized personnel only?",Not Applicable,Our offering does not include separate environments for tenants.,,
,User Access Restriction / Authorization,IAM-08.1,"Do you document how you grant, approve and enforce access restrictions to tenant/customer credentials following the rules of least privilege?",Not Applicable,Access to tenant/customer credentials is simply not possible as user provided passwords are hashed using one-way hashing algorithm.,,
,User Access Reviews,IAM-10.1,"Do you require a periodical authorization and validation (e.g. at least annually) of the entitlements for all system users and administrators (exclusive of users maintained by your tenants), based on the rule of least privilege, by business leadership or other accountable business role or function?",Yes,This is included in the list of items that we review annually.,TODO: Put in calendar,
,User Access Revocation,IAM-11.1,"Is timely deprovisioning, revocation, or modification of user access to the organizations systems, information assets, and data implemented upon any change in status of employees, contractors, customers, business partners, or involved third parties?",Yes,"For the average personnel, access to all important assets and data can be disabled through the deactivation of a single account. ",,
Infrastructure & Virtualization Security,Audit Logging / Intrusion Detection,IVS-01.1,"Are file integrity (host) and network intrusion detection (IDS) tools implemented to help facilitate timely detection, investigation by root cause analysis, and response to incidents?",Not Applicable,TODO,,
,,IVS-01.2,Is physical and logical user access to audit logs restricted to authorized personnel?,Not Applicable,,,
,,IVS-01.5,"Are audit logs reviewed on a regular basis for security events (e.g., with automated tools)?",Not Applicable,,,
,Clock Synchronization,IVS-03.1,"Do you use a synchronized time-service protocol (e.g., NTP) to ensure all systems have a common time reference?",Not Applicable,This is handled by our could service provider.,,
,OS Hardening and Base Controls,IVS-07.1,"Are operating systems hardened to provide only the necessary ports, protocols, and services to meet business needs using technical controls (e.g., antivirus, file integrity monitoring, and logging) as part of their baseline build standard or template?",Not Applicable,,,
,Production / Non-Production Environments,IVS-08.1,"For your SaaS or PaaS offering, do you provide tenants with separate environments for production and test processes?",Not Applicable,Our service is not multi-tenant.,,
,,IVS-08.3,Do you logically and physically segregate production and non-production environments?,Yes,These environments are set up in separate Cloud server clusters.,,
,Segmentation,IVS-09.1,Are system and network environments protected by a firewall or virtual firewall to ensure business and customer security requirements?,Yes,This protective firewall layer is implemented using Cloudflare.,,
,VMM Security - Hypervisor Hardening,IVS-11.1,"Do you restrict personnel access to all hypervisor management functions or administrative consoles for systems hosting virtualized systems based on the principle of least privilege and supported through technical controls (e.g., two-factor authentication, audit trails, IP address filtering, firewalls and TLS-encapsulated communications to the administrative consoles)?",Yes,This is achieved by employing role-based administrative console access that is equipped with audit trail and 2FA enforcement. ,,
,Wireless Security,IVS-12.1,Are policies and procedures established and mechanisms configured and implemented to protect the wireless network environment perimeter and to restrict unauthorized wireless traffic?,Not Applicable,Our servers are hosted on the cloud and any interaction that we have with the could is encrypted using TLS 1.2+.,,
,,IVS-12.2,"Are policies and procedures established and mechanisms implemented to ensure wireless security settings are enabled with strong encryption for authentication and transmission, replacing vendor default settings (e.g., encryption keys, passwords, SNMP community strings)?",Not Applicable,Our servers are hosted on the cloud and any interaction that we have with the could is encrypted using TLS 1.2+.,,
,,IVS-12.3,Are policies and procedures established and mechanisms implemented to protect wireless network environments and detect the presence of unauthorized (rogue) network devices for a timely disconnect from the network?,Not Applicable,Our servers are hosted on the cloud and any interaction that we have with the could is encrypted using TLS 1.2+.,,
Interoperability & Portability,APIs,IPY-01.1,Do you publish a list of all APIs available in the service and indicate which are standard and which are customized?,Not Applicable,We do not offer any public API.,,
Mobile Security,Approved Applications,MOS-03.1,"Do you have a policy enforcement capability (e.g., XACML) to ensure that only approved applications and those from approved application stores can be loaded onto a mobile device?",Not Applicable,Our employees and contractors are not provided with mobile devices,,
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Management,SEF-02.1,Do you have a documented security incident response plan?,Yes,TODO: DB recovery plan,,
,,SEF-02.4,Have you tested your security incident response plans in the last year?,Yes,TODO: Try DB recovery,,
,Incident Reporting,SEF-03.1,"Are workforce personnel and external business relationships adequately informed of their responsibility, and, if required, consent and/or contractually required to report all information security events in a timely manner?",Yes,TODO: best practices and employment contract,,
,,SEF-03.2,"Do you have predefined communication channels for workforce personnel and external business partners to report incidents in a timely manner adhering to applicable legal, statutory, or regulatory compliance obligations?",Yes,Personnel and business partners have dedicated communication channels to report any issues.,,
,Incident Response Legal Preparation,SEF-04.4,Do you enforce and attest to tenant data separation when producing data in response to legal subpoenas?,Yes,We will not divulge any data that is not the subject of the legal subpoenas.,,
"Supply Chain Management, Transparency, and Accountability",Incident Reporting,STA-02.1,"Do you make security incident information available to all affected customers and providers periodically through electronic methods (e.g., portals)?",No,Customers are free to contact us on designated communication channels regarding issues that they are facing.,,
,Network / Infrastructure Services,STA-03.1,Do you collect capacity and use data for all relevant components of your cloud service offering?,Not Applicable,This capability is not relevant to your offering.,,
,Third Party Agreements,STA-05.4,Do third-party agreements include provision for the security and protection of information and assets?,Not Applicable,We do not distribute non-anonymized data to third parties.,,
,,STA-05.5,Do you have the capability to recover data for a specific customer in the case of a failure or data loss?,Yes,"This is highly dependent on the recentness of the data loss occurrence. It gets harder as time goes. In addition, the completeness of the data recovered varied based on conditions.",,
,Supply Chain Metrics,STA-07.4,Do you provide tenants with ongoing visibility and reporting of your operational Service Level Agreement (SLA) performance?,Not Applicable,Our offering does not include multi-tenancy.,,
,Third Party Audits,STA-09.1,Do you mandate annual information security reviews and audits of your third party providers to ensure that all agreed upon security requirements are met?,No,,,
Threat and Vulnerability Management,Antivirus / Malicious Software,TVM-01.1,Do you have anti-malware programs that support or connect to your cloud service offerings installed on all of your IT infrastructure network and systems components?,Yes,This is achieved using Amazon GuardDuty Malware Protection.,,
,Vulnerability / Patch Management,TVM-02.5,"Do you have a capability to patch vulnerabilities across all of your computing devices, applications, and systems?",Yes,"We use containerization technology to that serves as an intermediary layer between our application code and the underlying operating systems, which means that any updates that are applied to the containers will automatically apply to all machines that run the application code. ",,
,Mobile Code,TVM-03.1,"Is mobile code authorized before its installation and use, and the code configuration checked, to ensure that the authorized mobile code operates according to a clearly defined security policy?",Not Applicable,,,
